Language,Tokenizer,Model Size,Seed,Eval Loss,Accuracy,F1,Perplexity,Top5 Accuracy,Top10 Accuracy,TTR,Avg Token Length
English,Trailing,60m,42,4.014092922,0.001673049487,0.001657453207,55.37304496,0.007717514215,0.01723966136,0.4820201414,5.5041875
English,Trailing,60m,356,3.963888407,0.001681196668,0.001665879302,52.66169845,0.007418137642,0.01507577654,0.4820201414,5.5041875
English,Trailing,60m,4329,3.992349863,0.00171682442,0.001693745972,54.18206031,0.007798080783,0.01682518969,0.4820201414,5.5041875
English,Trailing,60m,5545,3.998776197,0.001701855592,0.001679721423,54.53137355,0.007768466426,0.01621418344,0.4820201414,5.5041875
English,Trailing,60m,9336,3.946195841,0.001625976886,0.001627853744,51.73817175,0.008073145133,0.01687578627,0.4820201414,5.5041875
,,,AVG,3.983060646,0.001679780611,0.00166493073,53.6972698,0.00775506884,0.01644611946,0.4820201414,5.5041875
,,,,,,,,,,,
Swahili,Leading,60m,42,3.449145079,0.001270828616,0.001282777356,31.47347346,0.01120570086,0.02316269437,0.5032770277,5.619875
Swahili,Leading,60m,356,3.389437914,0.001319774683,0.001326280877,29.64928214,0.01075103317,0.02206936896,0.5032770277,5.619875
Swahili,Leading,60m,4329,3.429051876,0.001394078351,0.001395627232,30.84738174,0.01131361809,0.0233567095,0.5032770277,5.619875
Swahili,Leading,60m,5545,3.429633141,0.001323902665,0.001341639502,30.86531744,0.01139617772,0.02337616999,0.5032770277,5.619875
Swahili,Leading,60m,9336,3.456094742,0.00123308707,0.001240287331,31.69296531,0.01012063142,0.02188714806,0.5032770277,5.619875
,,,AVG,3.43067255,0.001308334277,0.001317322459,30.90568402,0.01095743225,0.02277041818,0.5032770277,5.619875
,,,,,,,,,,,
Swahili,Trailing,60m,42,3.460345745,0.000927734375,0.0009300707838,31.82797898,0.009741792225,0.02059907459,0.5258841378,5.4229375
Swahili,Trailing,60m,356,3.465863228,0.0009259905134,0.0009185725517,32.00407466,0.009523809524,0.02055547805,0.5258841378,5.4229375
Swahili,Trailing,60m,4329,3.460985661,0.0009091331845,0.0009080414433,31.84835271,0.009280250186,0.01937953404,0.5258841378,5.4229375
Swahili,Trailing,60m,5545,3.486521721,0.0009434291295,0.000945087785,32.67210713,0.009233165923,0.02007300967,0.5258841378,5.4229375
Swahili,Trailing,60m,9336,3.461368322,0.0008969261533,0.0008952910608,31.86054219,0.009851074219,0.02053745815,0.5258841378,5.4229375
,,,AVG,3.467016935,0.0009206426711,0.0009194127249,32.04261114,0.009526018415,0.0202289109,0.5258841378,5.4229375
,,,,,,,,,,,
Chinese,Leading,60m,42,4.131294727,0.003633186479,0.003982531887,62.25847853,0.01754683148,0.04040385206,0.4673546922,1.677125
Chinese,Leading,60m,356,4.157602787,0.003454987662,0.003742009144,63.91811346,0.0174718095,0.04071586956,0.4673546922,1.677125
Chinese,Leading,60m,4329,4.164110661,0.003572714055,0.003910301824,64.33544095,0.0177816459,0.04134553021,0.4673546922,1.677125
Chinese,Leading,60m,5545,4.172225952,0.003639410604,0.003979133934,64.85966605,0.01812328118,0.04156373365,0.4673546922,1.677125
Chinese,Leading,60m,9336,4.145194054,0.003506177098,0.003837814358,63.1298713,0.01782516157,0.04073061861,0.4673546922,1.677125
,,,AVG,4.154085636,0.00356129518,0.003890358229,63.70031406,0.01774974593,0.04095192082,0.4673546922,1.677125
,,,,,,,,,,,
Chinese,Trailing,60m,42,4.198104382,0.003899500372,0.004141656303,66.56003894,0.01936267032,0.04330431253,0.4699257772,1.6738125
Chinese,Trailing,60m,356,4.193856716,0.003628025766,0.003859615036,66.27791378,0.01843371752,0.04306881357,0.4699257772,1.6738125
Chinese,Trailing,60m,4329,4.188280582,0.003621759212,0.003866640716,65.90936775,0.01812259053,0.04146505899,0.4699257772,1.6738125
Chinese,Trailing,60m,5545,4.214988708,0.003650327718,0.003895947173,67.69340151,0.01835921666,0.04188466311,0.4699257772,1.6738125
Chinese,Trailing,60m,9336,4.189273834,0.003849502132,0.004091109668,65.97486487,0.01932103196,0.04342950941,0.4699257772,1.6738125
,,,AVG,4.196900845,0.00372982304,0.003970993779,66.48311737,0.0187198454,0.04263047152,0.4699257772,1.6738125
